"","SCC","EI.Sector","Short.Name","SCC.Level.One","SCC.Level.Two","SCC.Level.Three","SCC.Level.Four"
"1405","2230070270","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - All HDDV incl Buses - Urban Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","All HDDV including Buses (use subdivisions -071 thru -075 if possible)","Urban Other Principal Arterial: Total"

"1425","2230071110","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Rural Interstate: Total"
"1445","2230071210","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Rural Local: Total"
"1437","2230071170","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Rural Major Collector: Total"
"1433","2230071150","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Rural Minor Arterial: Total"
"1441","2230071190","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Rural Minor Collector: Total"
"1429","2230071130","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Rural Other Principal Arterial: Total"
"1465","2230071310","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Urban Collector: Total"
"1449","2230071230","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Urban Interstate: Total"
"1469","2230071330","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Urban Local: Total"
"1461","2230071290","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Urban Minor Arterial: Total"
"1453","2230071250","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Other Freeways & Expressways: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Urban Other Freeways and Expressways: Total"
"1457","2230071270","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 2B - Urban Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 2B","Urban Other Principal Arterial: Total"

"1476","2230072110","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Rural Interstate: Total"
"1496","2230072210","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Rural Local: Total"
"1488","2230072170","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Rural Major Collector: Total"
"1484","2230072150","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Rural Minor Arterial: Total"
"1492","2230072190","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Rural Minor Collector: Total"
"1480","2230072130","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Rural Other Principal Arterial: Total"
"1516","2230072310","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Urban Collector: Total"
"1500","2230072230","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Urban Interstate: Total"
"1520","2230072330","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Urban Local: Total"
"1512","2230072290","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Urban Minor Arterial: Total"
"1504","2230072250","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Other Freeways & Expressways: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Urban Other Freeways and Expressways: Total"
"1508","2230072270","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 3, 4, & 5 - Urban Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 3, 4, & 5","Urban Other Principal Arterial: Total"

"1527","2230073110","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Rural Interstate: Total"
"1547","2230073210","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Rural Local: Total"
"1539","2230073170","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Rural Major Collector: Total"
"1535","2230073150","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Rural Minor Arterial: Total"
"1543","2230073190","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Rural Minor Collector: Total"
"1531","2230073130","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Rural Other Principal Arterial: Total"
"1567","2230073310","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Urban Collector: Total"
"1551","2230073230","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Urban Interstate: Total"
"1571","2230073330","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Urban Local: Total"
"1563","2230073290","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Urban Minor Arterial: Total"
"1555","2230073250","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Other Freeways & Expressways: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Urban Other Freeways and Expressways: Total"
"1559","2230073270","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 6 & 7 - Urban Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 6 & 7","Urban Other Principal Arterial: Total"

"1578","2230074110","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Rural Interstate: Total"
"1598","2230074210","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Rural Local: Total"
"1590","2230074170","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Rural Major Collector: Total"
"1586","2230074150","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Rural Minor Arterial: Total"
"1594","2230074190","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Rural Minor Collector: Total"
"1582","2230074130","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Rural Other Principal Arterial: Total"
"1618","2230074310","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Urban Collector: Total"
"1602","2230074230","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Urban Interstate: Total"
"1622","2230074330","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Urban Local: Total"
"1614","2230074290","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Urban Minor Arterial: Total"
"1606","2230074250","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Other Freeways & Expressways: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Urban Other Freeways and Expressways: Total"
"1610","2230074270","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty (HDDV) Class 8A & 8B - Urban Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Vehicles (HDDV) Class 8A & 8B","Urban Other Principal Arterial: Total"

"1629","2230075110","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Rural Interstate: Total"
"1649","2230075210","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Rural Local: Total"
"1641","2230075170","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Rural Major Collector: Total"
"1637","2230075150","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Rural Minor Arterial: Total"
"1645","2230075190","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Rural Minor Collector: Total"
"1633","2230075130","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Rural Other Principal Arterial: Total"
"1669","2230075310","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Urban Collector: Total"
"1653","2230075230","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Urban Interstate: Total"
"1673","2230075330","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Urban Local: Total"
"1665","2230075290","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Urban Minor Arterial: Total"
"1657","2230075250","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Other Freeways & Expressways: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Urban Other Freeways and Expressways: Total"
"1661","2230075270","Mobile - On-Road Diesel Heavy Duty Vehicles","Highway Veh - Diesel - Heavy Duty Buses (School & Transit) - Urban Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Heavy Duty Diesel Buses (School & Transit)","Urban Other Principal Arterial: Total"
----------------------------------------------------------------------------------------------------
"1265","2230060110","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Rural Interstate: Total"
"1305","2230060210","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Rural Local: Total"
"1289","2230060170","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Rural Major Collector: Total"
"1281","2230060150","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Rural Minor Arterial: Total"
"1297","2230060190","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Rural Minor Collector: Total"
"1273","2230060130","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Rural Other Principal Arterial: Total"
"1264","2230060000","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Total: All Road Types","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Total: All Road Types"
"1345","2230060310","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Urban Collector: Total"
"1313","2230060230","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Urban Interstate: Total"
"1353","2230060330","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Urban Local: Total"
"1337","2230060290","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Urban Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Urban Minor Arterial: Total"
"1321","2230060250","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Urban Other Freeways & Expressways: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Urban Other Freeways and Expressways: Total"
"1329","2230060270","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Trucks 1 thru 4 (LDDT) - Urban Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Trucks 1 thru 4 (M6) (LDDT)","Urban Other Principal Arterial: Total"
----------------------------------------------------------------------------------------------------
"1165","2230001110","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Rural Interstate: Total"
"1205","2230001210","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Local: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Rural Local: Total"
"1189","2230001170","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Major Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Rural Major Collector: Total"
"1181","2230001150","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Minor Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Rural Minor Arterial: Total"
"1197","2230001190","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Minor Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Rural Minor Collector: Total"
"1173","2230001130","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Rural Other Principal Arterial: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Rural Other Principal Arterial: Total"
"1164","2230001000","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Total: All Road Types","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Total: All Road Types"
"1245","2230001310","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Urban Collector: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Urban Collector: Total"
"1213","2230001230","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Urban Interstate: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Urban Interstate: Total"
"1253","2230001330","Mobile - On-Road Diesel Light Duty Vehicles","Highway Veh - Diesel - Light Duty Vehicles (LDDV) - Urban Local: Total","Mobile Sources","Highway Vehicles - Diesel","Light Duty Diesel Vehicles (LDDV)","Urban Local: Total"
